ThreadPoolExecutor times:
1 jobs: 0.001001596450805664s
2 jobs: 0.000997304916381836s
3 jobs: 0.0010046958923339844s
4 jobs: 0.000997781753540039s
5 jobs: 0.0017168521881103516s
6 jobs: 0.0010020732879638672s
7 jobs: 0.001005411148071289s
8 jobs: 0.0020036697387695312s
9 jobs: 0.0019960403442382812s
10 jobs: 0.0010013580322265625s
11 jobs: 0.002013683319091797s
12 jobs: 0.0009746551513671875s
13 jobs: 0.0020308494567871094s
14 jobs: 0.0010006427764892578s
15 jobs: 0.0009980201721191406s
16 jobs: 0.0010464191436767578s
17 jobs: 0.0021255016326904297s
18 jobs: 0.0010311603546142578s
19 jobs: 0.002119302749633789s
20 jobs: 0.0010001659393310547s
21 jobs: 0.0021021366119384766s
22 jobs: 0.0010631084442138672s
23 jobs: 0.0019996166229248047s
24 jobs: 0.0015041828155517578s

ProcessPoolExecutor times:
1 jobs: 0.1401059627532959s
2 jobs: 0.16672205924987793s
3 jobs: 0.17745471000671387s
4 jobs: 0.19806623458862305s
5 jobs: 0.19810938835144043s
6 jobs: 0.20504236221313477s
7 jobs: 0.21320271492004395s
8 jobs: 0.21832871437072754s
9 jobs: 0.24157333374023438s
10 jobs: 0.2537875175476074s
11 jobs: 0.27536463737487793s
12 jobs: 0.3036651611328125s
13 jobs: 0.3533976078033447s
14 jobs: 0.407062292098999s
15 jobs: 0.4053943157196045s
16 jobs: 0.46507978439331055s
17 jobs: 0.4599881172180176s
18 jobs: 0.5603570938110352s
19 jobs: 0.5401663780212402s
20 jobs: 0.572030782699585s
21 jobs: 0.61177659034729s
22 jobs: 0.592181921005249s
23 jobs: 0.6359548568725586s
24 jobs: 0.6548800468444824s
